ss051,-1.35394337,2.14467202,-0.46246423,0.94576451,0.95008697,-0.7624174,1.35099614,-1.56942962,-1.86138892,-1.08899053,-1.48154489,-0.92951073,1.01901536,-1.08087263,-1.37551978,-1.77567039,1.44023003,0.82002487,-0.8101719,0.50707908,-0.42033833,1.17875069,-0.86465073,0.50846002,0.95083842,-1.78935888,1.99108674,-1.36015712,5.08881418,,0.87410643,-0.91945027,1.29437349,-1.38683704,1.62235203,1.54549311,1.16855249,-1.80116873,1.95564204,-3.21516245,,0.8233075,4.86771207,,2.11123856,2.52574945,1
ss064,2.35362096,-1.0280994,1.50493771,0.55482943,1.1477944,0.63796938,-0.56438567,1.39298319,1.42925539,0.69590603,0.48039377,-1.08223104,1.95893304,2.27738814,0.37659301,-0.36700091,1.05526271,,0.17859065,0.59200839,-0.47007646,-0.39144625,0.37933872,-0.23901478,-0.93445615,0.8930314,1.10354247,-0.71835117,0.6782121,0.29264113,-0.75075963,0.59824521,0.98524279,0.71036606,-0.67226287,-0.55712857,0.66105272,0.58381319,0.47924562,1.28788014,0.35335357,1.1166673,1.17025987,1.83594872,,1.50091454,1
ss066,0.90835473,-0.90419258,-1.13863912,0.33933352,1.22093109,0.91662436,-0.79859315,1.53570135,1.30371199,1.85202141,,-0.50535881,0.53549889,0.3947112,1.02084549,0.80435741,0.71724716,0.73809864,0.42091889,1.22367946,0.46952378,0.57177253,1.42194693,0.61012317,0.3713896,-1.36018196,1.16590663,1.66171572,1.78544833,0.8668566,0.9031015,1.02285962,1.41460265,1.2667825,0.58406714,1.38522024,0.7151314,1.02021859,0.92896749,0.32480256,0.29244826,-0.90164728,-0.62485665,-0.48825033,0.51170822,0.57409378,1
ss067,-1.3059037,-0.63213765,-0.92674634,-0.88069866,-1.27874664,-2.63657033,-0.61072279,-1.48372029,-2.50709118,-3.7001153,1.13861072,-1.47703889,-1.15366801,0.43706132,-1.58805393,-1.5893631,-1.58448163,-1.41384338,0.88675281,1.43518945,0.26758794,-0.77262433,-0.59655745,-1.53199002,-1.56188146,-2.10034091,-2.26875099,-1.55514007,-2.40401391,0.95974907,1.36958225,1.82577029,-0.83425732,-1.84510353,0.70375322,-0.86640581,-0.42394503,-1.81130434,-3.62922336,-0.49297858,-1.93829123,-1.33328586,-1.39699982,-5.83683862,,-2.23761719,1
ss069,-0.41133208,0.79108004,0.85237949,0.70406899,1.17428986,-0.90440182,1.76533302,1.71077135,,5.66178077,,0.74433151,-0.95528569,0.46423964,0.72237057,0.34725743,1.63479851,0.8037292,0.2580383,2.76424627,,,0.84962184,-0.90622334,-1.11667274,-4.9205561,,0.44684385,1.05430197,1.65778783,0.49138339,0.72119678,1.08030437,0.29361532,0.48372872,0.76667248,0.52580896,1.07978837,-2.64534189,-1.04405266,-0.53612001,0.2718692,-0.35353663,-1.20725069,0.62762411,0.73648321,1
ss071,0.1673085,-0.42968923,-0.39353825,-0.51158175,-0.21633103,-0.41591161,-0.42340225,0.17592222,-0.31761997,-1.10085335,-0.30822402,-0.45783417,-0.35217518,-0.3399481,-0.24295132,-0.31658719,0.25238125,0.34806204,-0.21842621,-0.2372213,-0.22540148,-0.2969138,-0.4005946,-0.4122127,-0.67939494,-0.46362247,-0.66024737,-0.25551695,-0.57808734,-0.7295805,-0.33300975,-0.35253394,-0.33571133,-0.61631327,-0.39202117,-0.32778467,-0.38456313,-0.35546421,-0.22744659,-0.65177763,-0.36948265,0.61023529,0.43487023,-0.65097059,0.26900353,0.35112903,1
ss074,0.75376622,-0.33950086,0.65768913,-0.63943192,-0.65945456,-1.04400686,-0.87994288,-1.41458257,-1.11346818,1.91860989,-1.32021619,-1.13861795,1.8119007,,-1.53104314,0.6207161,-0.97701125,,,0.61226402,-0.34496095,1.1529979,-1.16940373,-1.74302429,5.14878337,-7.10811331,1.38773211,1.44958212,-1.88546272,0.90645901,-0.56922999,-0.47981241,1.41351819,-0.91841122,-2.10904286,-1.37934258,-1.06989422,1.95187482,-0.65172948,-1.42357451,-0.50546002,-2.03367547,2.12404386,-1.73636999,,,1
ss075,-0.81682557,-0.64899494,-1.60298332,-2.18569464,-2.72234107,-1.2345975,0.72244845,-3.02945052,-2.54222067,-4.28775996,-0.56190672,-1.30259751,-1.11830939,-1.39124835,1.17175094,-1.84135922,1.53889036,1.20715644,-0.46592182,-0.65222894,-0.89941814,0.51150513,-0.84483898,-0.82960627,-2.49984211,-3.6115134,,-1.61332302,-2.89614245,-0.66478654,1.07026121,1.16111024,2.57998249,1.07361359,-0.61700469,-1.21201347,-1.33401863,0.81810815,,,,,,-2.93307324,0.78935439,0.90633708,1
ss077,0.88650987,-1.20450228,,-0.51719831,-0.67392818,-0.86935896,-0.65785384,-1.00826081,-0.29816392,-0.40132861,1.83643441,0.68029332,-0.76368353,0.80235509,1.25921156,0.72522191,-0.92983772,-1.1322454,0.38537195,0.58112127,-0.44759083,1.26298353,0.86635112,1.09023178,0.90678513,-1.26051508,,0.50979805,1.96854905,,0.70762696,0.47688552,0.69836986,-1.23015632,-0.79008336,-0.60919684,0.52413045,0.68818227,3.02632215,,,,1.36942374,-0.88902582,-0.40310475,-0.42547294,1
ss083,0.4772402,-0.51988158,-1.0852194,-0.57010113,-0.42733542,-0.40033882,-0.83901189,1.26685135,-0.67989019,0.74042599,-0.57269325,-1.65800626,-1.49086422,-1.93522699,-0.31713755,-0.22871787,-0.52642426,-0.51341793,-0.33619585,0.92636696,0.2861867,-0.73560828,-0.51930907,-0.82934213,-1.78275737,,0.33299641,0.4958764,1.04563501,-0.51824431,0.45904778,-0.5143751,0.78476031,-0.72436959,-0.52610451,-0.84852902,-0.86572442,-1.10577593,-0.30142171,-1.63278297,-0.69215754,0.65857118,-0.7343823,-0.97072939,-0.96211907,-1.1148055,1
